,Player,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
442,真子康佑,東レアローズ,1,48,9,0,0,0,,0.0,0,0,0,,1,0.11,12,0,2,1,-2.1,0,0,0,,1099,12743,1,,
443,真子康佑,東レアローズ,10,32,13,1,0,0,0.0,0.0,0,0,0,,2,0.15,48,0,3,4,0.5,0,0,0,,444,4605,2,0.0,
444,真子康佑,東レアローズ,11,64,15,3,3,0,100.0,0.2,0,0,0,,3,0.2,22,0,1,8,8.0,2,0,0,0.0,1123,8601,6,100.0,
445,真子康佑,東レアローズ,12,16,6,0,0,0,,0.0,0,0,0,,0,0.0,4,1,0,0,25.0,0,0,0,,325,1950,1,,
446,矢貫龍馬,VC長野トライデンツ,1,70,7,15,10,0,66.7,1.43,0,0,0,,1,0.14,28,0,3,8,4.5,2,2,0,100.0,930,5217,11,66.7,
447,矢貫龍馬,VC長野トライデンツ,10,56,4,5,0,0,0.0,0.0,0,0,0,,2,0.5,11,0,3,0,-6.8,2,1,1,75.0,444,4990,2,0.0,
448,矢貫龍馬,VC長野トライデンツ,11,70,3,8,4,0,50.0,1.33,0,0,0,,1,0.33,5,0,0,0,0.0,1,1,0,100.0,711,3770,5,50.0,
449,矢貫龍馬,VC長野トライデンツ,12,28,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,331,2450,0,,
450,福山汰一,ジェイテクトSTINGS,1,24,19,51,31,2,60.8,1.63,0,0,0,,4,0.21,67,0,0,18,6.7,8,5,1,68.8,1109,9098,35,56.9,
451,福山汰一,ジェイテクトSTINGS,10,16,8,10,4,2,40.0,0.5,0,0,0,,1,0.12,10,0,1,0,-2.5,1,1,0,100.0,440,10165,5,20.0,
452,福山汰一,ジェイテクトSTINGS,11,32,20,22,14,0,63.6,0.7,0,0,0,,5,0.25,31,0,6,6,0.0,3,1,1,50.0,1112,15559,19,63.6,
453,福山汰一,ジェイテクトSTINGS,12,8,2,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,331,2450,0,,
454,秦耕介,サントリーサンバーズ,1,66,9,26,7,0,26.9,0.78,5,2,0,40.0,2,0.22,18,0,3,4,1.4,14,3,4,35.7,1097,8881,9,26.9,40.0
455,秦耕介,サントリーサンバーズ,10,44,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,442,3455,0,,
456,秦耕介,サントリーサンバーズ,11,88,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,1123,12425,0,,
